id,identifier,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,is_legendary,is_mythical,order,conquest_order
144,articuno,1,,73,2,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,176,192.0
145,zapdos,1,,74,10,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,177,
146,moltres,1,,75,10,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,178,
150,mewtwo,1,,77,7,6,5.0,-1,3,0.0,0,120.0,0,1,1,1,0,182,196.0
151,mew,1,,78,6,6,5.0,-1,45,100.0,0,120.0,0,4,0,0,1,183,
243,raikou,2,,123,10,8,3.0,-1,3,35.0,0,80.0,0,1,0,1,0,268,
244,entei,2,,124,3,8,3.0,-1,3,35.0,0,80.0,0,1,0,1,0,269,
245,suicune,2,,125,2,8,3.0,-1,3,35.0,0,80.0,0,1,0,1,0,270,
249,lugia,2,,127,9,9,5.0,-1,3,0.0,0,120.0,0,1,0,1,0,274,
250,ho-oh,2,,128,8,9,5.0,-1,3,0.0,0,120.0,0,1,0,1,0,275,
251,celebi,2,,129,5,12,2.0,-1,45,100.0,0,120.0,0,4,0,0,1,276,
377,regirock,3,,193,3,12,1.0,-1,3,35.0,0,80.0,0,1,0,1,0,407,
378,regice,3,,194,2,12,1.0,-1,3,35.0,0,80.0,0,1,0,1,0,408,
379,registeel,3,,195,4,12,1.0,-1,3,35.0,0,80.0,0,1,0,1,0,409,193.0
380,latias,3,,196,8,9,9.0,8,3,90.0,0,120.0,0,1,1,1,0,410,
381,latios,3,,197,2,9,9.0,0,3,90.0,0,120.0,0,1,1,1,0,411,
382,kyogre,3,,198,2,3,7.0,-1,3,0.0,0,120.0,0,1,1,1,0,412,
383,groudon,3,,199,8,6,6.0,-1,3,0.0,0,120.0,0,1,1,1,0,413,194.0
384,rayquaza,3,,200,5,2,5.0,-1,45,0.0,0,120.0,0,1,1,1,0,414,200.0
385,jirachi,3,,201,10,12,4.0,-1,3,100.0,0,120.0,0,1,0,0,1,415,
386,deoxys,3,,202,8,12,5.0,-1,3,0.0,0,120.0,0,1,1,0,1,416,
480,uxie,4,,241,10,6,,-1,3,140.0,0,80.0,0,1,0,1,0,481,
481,mesprit,4,,242,6,6,,-1,3,140.0,0,80.0,0,1,0,1,0,482,
482,azelf,4,,243,2,6,,-1,3,140.0,0,80.0,0,1,0,1,0,483,
483,dialga,4,,244,9,8,,-1,3,0.0,0,120.0,0,1,0,1,0,484,195.0
484,palkia,4,,245,7,6,,-1,3,0.0,0,120.0,0,1,0,1,0,485,
485,heatran,4,,246,3,8,,4,3,100.0,0,10.0,0,1,0,1,0,486,
486,regigigas,4,,247,9,12,,-1,3,0.0,0,120.0,0,1,0,1,0,487,
487,giratina,4,,248,1,10,,-1,3,0.0,0,120.0,0,1,1,1,0,488,
488,cresselia,4,,249,10,2,,8,3,100.0,0,120.0,0,1,0,1,0,489,
489,phione,4,,250,2,4,,-1,30,70.0,0,40.0,0,1,0,0,1,490,
490,manaphy,4,,250,2,12,,-1,3,70.0,0,10.0,0,1,0,0,1,491,
491,darkrai,4,,252,1,12,,-1,3,0.0,0,120.0,0,1,0,0,1,492,
492,shaymin,4,,253,5,8,,-1,45,100.0,0,120.0,0,4,1,0,1,493,
493,arceus,4,,254,9,8,,-1,3,0.0,0,120.0,0,1,1,0,1,494,199.0
494,victini,5,,255,10,12,,-1,3,100.0,0,120.0,0,1,0,0,1,495,
638,cobalion,5,,325,2,8,,-1,3,35.0,0,80.0,0,1,0,1,0,639,
639,terrakion,5,,326,4,8,,-1,3,35.0,0,80.0,0,1,0,1,0,640,191.0
640,virizion,5,,327,5,8,,-1,3,35.0,0,80.0,0,1,0,1,0,641,
641,tornadus,5,,328,5,4,,0,3,90.0,0,120.0,0,1,1,1,0,642,
642,thundurus,5,,329,2,4,,0,3,90.0,0,120.0,0,1,1,1,0,643,
643,reshiram,5,,330,9,9,,-1,3,0.0,0,120.0,0,1,0,1,0,644,197.0
644,zekrom,5,,331,1,6,,-1,3,0.0,0,120.0,0,1,0,1,0,645,198.0
645,landorus,5,,332,3,4,,0,3,90.0,0,120.0,0,1,1,1,0,646,
646,kyurem,5,,333,4,6,,-1,3,0.0,0,120.0,0,1,1,1,0,647,
647,keldeo,5,,334,10,8,,-1,3,35.0,0,80.0,0,1,1,0,1,648,
648,meloetta,5,,335,9,12,,-1,3,100.0,0,120.0,0,1,1,0,1,649,
649,genesect,5,,336,7,12,,-1,3,0.0,0,120.0,0,1,1,0,1,650,
716,xerneas,6,,368,2,8,,-1,45,0.0,0,120.0,0,1,1,1,0,716,
717,yveltal,6,,369,8,9,,-1,45,0.0,0,120.0,0,1,0,1,0,717,
718,zygarde,6,,370,5,2,,-1,3,0.0,0,120.0,0,1,0,1,0,718,
719,diancie,6,,371,6,4,,-1,3,50.0,0,25.0,0,1,1,0,1,719,
720,hoopa,6,,372,7,4,,-1,3,100.0,0,120.0,0,1,0,0,1,720,
721,volcanion,6,,373,3,8,,-1,3,100.0,0,120.0,0,1,0,0,1,721,
773,silvally,7,772.0,399,4,8,,-1,3,0.0,0,120.0,0,1,0,1,0,773,
785,tapu-koko,7,,409,10,4,,-1,3,50.0,0,15.0,0,1,0,1,0,785,
786,tapu-lele,7,,410,6,4,,-1,3,50.0,0,15.0,0,1,0,1,0,786,
